filepath,filename,main_category,sub_category,brand
images\ut-zap50k\Shoes\Clogs and Mules\UGG Kids\7862910.278.jpg,7862910.278.jpg,Shoes,Clogs and Mules,UGG Kids
images\ut-zap50k\Shoes\Loafers\Fendi Kids\8040939.409.jpg,8040939.409.jpg,Shoes,Loafers,Fendi Kids
images\ut-zap50k\Shoes\Heels\LifeStride\7799290.357434.jpg,7799290.357434.jpg,Shoes,Heels,LifeStride
images\ut-zap50k\Boots\Mid-Calf\Sorel\7333155.158249.jpg,7333155.158249.jpg,Boots,Mid-Calf,Sorel
images\ut-zap50k\Boots\Ankle\Dolce Vita\8106702.106.jpg,8106702.106.jpg,Boots,Ankle,Dolce Vita
images\ut-zap50k\Shoes\Flats\Earthies\8018548.24682.jpg,8018548.24682.jpg,Shoes,Flats,Earthies
images\ut-zap50k\Boots\Knee High\Franco Sarto\8045179.377608.jpg,8045179.377608.jpg,Boots,Knee High,Franco Sarto
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Globe\7474335.377995.jpg,7474335.377995.jpg,Shoes,Sneakers and Athletic Shoes,Globe
images\ut-zap50k\Shoes\Heels\Ivanka Trump\7991593.361274.jpg,7991593.361274.jpg,Shoes,Heels,Ivanka Trump
images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983412.335422.jpg,7983412.335422.jpg,Boots,Ankle,adidas Outdoor
images\ut-zap50k\Sandals\Flat\Nine West\8113346.13522.jpg,8113346.13522.jpg,Sandals,Flat,Nine West
images\ut-zap50k\Shoes\Heels\Vince Camuto\8071884.408677.jpg,8071884.408677.jpg,Shoes,Heels,Vince Camuto
images\ut-zap50k\Shoes\Heels\Dr. Scholl's\7358042.345865.jpg,7358042.345865.jpg,Shoes,Heels,Dr. Scholl's
images\ut-zap50k\Boots\Mid-Calf\Steve Madden\8026625.72.jpg,8026625.72.jpg,Boots,Mid-Calf,Steve Madden
images\ut-zap50k\Boots\Ankle\La Sportiva\7894033.764.jpg,7894033.764.jpg,Boots,Ankle,La Sportiva
images\ut-zap50k\Boots\Ankle\UGG Collection\8031973.325.jpg,8031973.325.jpg,Boots,Ankle,UGG Collection
images\ut-zap50k\Sandals\Flat\Birkenstock\109117.275676.jpg,109117.275676.jpg,Sandals,Flat,Birkenstock
images\ut-zap50k\Sandals\Flat\Rebecca Minkoff\8068515.106387.jpg,8068515.106387.jpg,Sandals,Flat,Rebecca Minkoff
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Ahnu\7983500.76119.jpg,7983500.76119.jpg,Shoes,Sneakers and Athletic Shoes,Ahnu
images\ut-zap50k\Boots\Mid-Calf\Primigi Kids\8024491.3.jpg,8024491.3.jpg,Boots,Mid-Calf,Primigi Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\DVS Shoe Company\7903648.947.jpg,7903648.947.jpg,Shoes,Sneakers and Athletic Shoes,DVS Shoe Company
images\ut-zap50k\Shoes\Oxfords\Giorgio Brutini\8125574.529.jpg,8125574.529.jpg,Shoes,Oxfords,Giorgio Brutini
images\ut-zap50k\Boots\Mid-Calf\Timberland PRO\7909568.3.jpg,7909568.3.jpg,Boots,Mid-Calf,Timberland PRO
images\ut-zap50k\Boots\Ankle\Carhartt\8045211.6.jpg,8045211.6.jpg,Boots,Ankle,Carhartt
images\ut-zap50k\Shoes\Loafers\SKECHERS KIDS\8063652.21196.jpg,8063652.21196.jpg,Shoes,Loafers,SKECHERS KIDS
images\ut-zap50k\Boots\Ankle\Sperry Top-Sider\7666723.36017.jpg,7666723.36017.jpg,Boots,Ankle,Sperry Top-Sider
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Keen\7977205.156329.jpg,7977205.156329.jpg,Shoes,Sneakers and Athletic Shoes,Keen
images\ut-zap50k\Shoes\Flats\Shoe Be Doo\7778218.284631.jpg,7778218.284631.jpg,Shoes,Flats,Shoe Be Doo
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Lowa\7972254.353637.jpg,7972254.353637.jpg,Shoes,Sneakers and Athletic Shoes,Lowa
images\ut-zap50k\Boots\Ankle\UGG Kids\8125977.407650.jpg,8125977.407650.jpg,Boots,Ankle,UGG Kids
images\ut-zap50k\Boots\Mid-Calf\Tundra Kids Boots\7683483.574.jpg,7683483.574.jpg,Boots,Mid-Calf,Tundra Kids Boots
images\ut-zap50k\Boots\Ankle\Frye\7792813.3.jpg,7792813.3.jpg,Boots,Ankle,Frye
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Merrell\7718407.318834.jpg,7718407.318834.jpg,Shoes,Sneakers and Athletic Shoes,Merrell
images\ut-zap50k\Shoes\Firstwalker\Kid Express\7399330.3099.jpg,7399330.3099.jpg,Shoes,Firstwalker,Kid Express
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Reebok Kids\7979454.356935.jpg,7979454.356935.jpg,Shoes,Sneakers and Athletic Shoes,Reebok Kids
images\ut-zap50k\Boots\Ankle\Dr. Martens\7870320.316836.jpg,7870320.316836.jpg,Boots,Ankle,Dr. Martens
images\ut-zap50k\Shoes\Heels\Badgley Mischka\7650949.1402.jpg,7650949.1402.jpg,Shoes,Heels,Badgley Mischka
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Originals Kids\7652832.241862.jpg,7652832.241862.jpg,Shoes,Sneakers and Athletic Shoes,adidas Originals Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Blowfish\8103923.388429.jpg,8103923.388429.jpg,Shoes,Sneakers and Athletic Shoes,Blowfish
images\ut-zap50k\Shoes\Heels\Gabriella Rocha\7586333.3.jpg,7586333.3.jpg,Shoes,Heels,Gabriella Rocha
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Converse\8033695.374298.jpg,8033695.374298.jpg,Shoes,Sneakers and Athletic Shoes,Converse
images\ut-zap50k\Shoes\Loafers\Venettini Kids\8039885.376235.jpg,8039885.376235.jpg,Shoes,Loafers,Venettini Kids
images\ut-zap50k\Shoes\Heels\Rocket Dog\8029250.372827.jpg,8029250.372827.jpg,Shoes,Heels,Rocket Dog
images\ut-zap50k\Shoes\Heels\Touch Ups\8121757.10101.jpg,8121757.10101.jpg,Shoes,Heels,Touch Ups
images\ut-zap50k\Shoes\Flats\Romantic Soles\8025936.371575.jpg,8025936.371575.jpg,Shoes,Flats,Romantic Soles
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Paul Smith Junior\8017552.14.jpg,8017552.14.jpg,Shoes,Sneakers and Athletic Shoes,Paul Smith Junior
images\ut-zap50k\Shoes\Oxfords\Rockport\7323951.537.jpg,7323951.537.jpg,Shoes,Oxfords,Rockport
images\ut-zap50k\Sandals\Flat\Naot Footwear\8081872.164454.jpg,8081872.164454.jpg,Sandals,Flat,Naot Footwear
images\ut-zap50k\Shoes\Flats\KORS Michael Kors Kids\7986157.3.jpg,7986157.3.jpg,Shoes,Flats,KORS Michael Kors Kids
images\ut-zap50k\Boots\Ankle\Bogs\7987475.158.jpg,7987475.158.jpg,Boots,Ankle,Bogs
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Saucony Originals\7203635.378279.jpg,7203635.378279.jpg,Shoes,Sneakers and Athletic Shoes,Saucony Originals
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Rockport\7996826.325.jpg,7996826.325.jpg,Shoes,Sneakers and Athletic Shoes,Rockport
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Sanuk Kids\8066136.559.jpg,8066136.559.jpg,Shoes,Sneakers and Athletic Shoes,Sanuk Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Geox Kids\8016142.8691.jpg,8016142.8691.jpg,Shoes,Sneakers and Athletic Shoes,Geox Kids
images\ut-zap50k\Boots\Mid-Calf\Merrell\7813525.6.jpg,7813525.6.jpg,Boots,Mid-Calf,Merrell
images\ut-zap50k\Boots\Mid-Calf\Romantic Soles\8020670.370092.jpg,8020670.370092.jpg,Boots,Mid-Calf,Romantic Soles
images\ut-zap50k\Boots\Ankle\BRUNO MAGLI\8009783.401.jpg,8009783.401.jpg,Boots,Ankle,BRUNO MAGLI
images\ut-zap50k\Shoes\Oxfords\Mezlan\8038998.20.jpg,8038998.20.jpg,Shoes,Oxfords,Mezlan
images\ut-zap50k\Sandals\Flat\Dansko\7894521.393014.jpg,7894521.393014.jpg,Sandals,Flat,Dansko
images\ut-zap50k\Boots\Mid-Calf\Dansko\7988390.223.jpg,7988390.223.jpg,Boots,Mid-Calf,Dansko
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Osiris\7277378.373267.jpg,7277378.373267.jpg,Shoes,Sneakers and Athletic Shoes,Osiris
images\ut-zap50k\Shoes\Oxfords\Fratelli\7826731.1567.jpg,7826731.1567.jpg,Shoes,Oxfords,Fratelli
images\ut-zap50k\Shoes\Clogs and Mules\Klogs USA\7391653.401423.jpg,7391653.401423.jpg,Shoes,Clogs and Mules,Klogs USA
images\ut-zap50k\Boots\Mid-Calf\UGG Kids\8084563.18.jpg,8084563.18.jpg,Boots,Mid-Calf,UGG Kids
images\ut-zap50k\Shoes\Loafers\Bass\8046253.63618.jpg,8046253.63618.jpg,Shoes,Loafers,Bass
images\ut-zap50k\Shoes\Clogs and Mules\Haflinger\7801939.354.jpg,7801939.354.jpg,Shoes,Clogs and Mules,Haflinger
images\ut-zap50k\Shoes\Loafers\Born\7987191.3580.jpg,7987191.3580.jpg,Shoes,Loafers,Born
images\ut-zap50k\Boots\Knee High\Robert Clergerie\8005946.60.jpg,8005946.60.jpg,Boots,Knee High,Robert Clergerie
images\ut-zap50k\Slippers\Slipper Flats\Hatley Kids\8017892.6.jpg,8017892.6.jpg,Slippers,Slipper Flats,Hatley Kids
images\ut-zap50k\Shoes\Clogs and Mules\Patagonia\7892296.298019.jpg,7892296.298019.jpg,Shoes,Clogs and Mules,Patagonia
images\ut-zap50k\Shoes\Loafers\Softspots\8013337.359288.jpg,8013337.359288.jpg,Shoes,Loafers,Softspots
images\ut-zap50k\Boots\Ankle\Asolo\7134394.19077.jpg,7134394.19077.jpg,Boots,Ankle,Asolo
images\ut-zap50k\Sandals\Flat\Roxy Kids\8095103.79024.jpg,8095103.79024.jpg,Sandals,Flat,Roxy Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\PUMA\8058601.173596.jpg,8058601.173596.jpg,Shoes,Sneakers and Athletic Shoes,PUMA
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\etnies\7892916.255659.jpg,7892916.255659.jpg,Shoes,Sneakers and Athletic Shoes,etnies
images\ut-zap50k\Shoes\Flats\Vince Camuto\8113427.403518.jpg,8113427.403518.jpg,Shoes,Flats,Vince Camuto
images\ut-zap50k\Shoes\Heels\Nina\7398854.77659.jpg,7398854.77659.jpg,Shoes,Heels,Nina
images\ut-zap50k\Boots\Mid-Calf\Eric Michael\7852121.3.jpg,7852121.3.jpg,Boots,Mid-Calf,Eric Michael
images\ut-zap50k\Shoes\Heels\ara\8037399.68.jpg,8037399.68.jpg,Shoes,Heels,ara
images\ut-zap50k\Boots\Mid-Calf\VOLATILE\8030320.6.jpg,8030320.6.jpg,Boots,Mid-Calf,VOLATILE
images\ut-zap50k\Shoes\Flats\Pazitos\7844871.270.jpg,7844871.270.jpg,Shoes,Flats,Pazitos
images\ut-zap50k\Boots\Ankle\Costume National\8003986.5291.jpg,8003986.5291.jpg,Boots,Ankle,Costume National
images\ut-zap50k\Shoes\Oxfords\UGG Collection\8031945.275.jpg,8031945.275.jpg,Shoes,Oxfords,UGG Collection
images\ut-zap50k\Shoes\Clogs and Mules\Dansko\7894507.2298.jpg,7894507.2298.jpg,Shoes,Clogs and Mules,Dansko
images\ut-zap50k\Shoes\Heels\BCBGeneration\8080517.392695.jpg,8080517.392695.jpg,Shoes,Heels,BCBGeneration
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Timberland Kids\7987007.568.jpg,7987007.568.jpg,Shoes,Sneakers and Athletic Shoes,Timberland Kids
images\ut-zap50k\Shoes\Flats\Arcopedico\7352714.2133.jpg,7352714.2133.jpg,Shoes,Flats,Arcopedico
images\ut-zap50k\Sandals\Flat\Aetrex\7928039.3.jpg,7928039.3.jpg,Sandals,Flat,Aetrex
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Montrail\7975286.335118.jpg,7975286.335118.jpg,Shoes,Sneakers and Athletic Shoes,Montrail
images\ut-zap50k\Shoes\Oxfords\Jumping Jacks Kids\7551532.751.jpg,7551532.751.jpg,Shoes,Oxfords,Jumping Jacks Kids
images\ut-zap50k\Shoes\Heels\Ziera\7892758.326764.jpg,7892758.326764.jpg,Shoes,Heels,Ziera
images\ut-zap50k\Boots\Mid-Calf\Ariat\7504013.20818.jpg,7504013.20818.jpg,Boots,Mid-Calf,Ariat
images\ut-zap50k\Shoes\Heels\Rockport\8087732.60472.jpg,8087732.60472.jpg,Shoes,Heels,Rockport
images\ut-zap50k\Boots\Mid-Calf\Baffin Kids\8053992.22025.jpg,8053992.22025.jpg,Boots,Mid-Calf,Baffin Kids
images\ut-zap50k\Shoes\Heels\Alexander McQueen\8032987.3.jpg,8032987.3.jpg,Shoes,Heels,Alexander McQueen
images\ut-zap50k\Boots\Ankle\EMU Australia\7968256.18.jpg,7968256.18.jpg,Boots,Ankle,EMU Australia
images\ut-zap50k\Shoes\Heels\ALDO\8096675.1430.jpg,8096675.1430.jpg,Shoes,Heels,ALDO
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Golf\7729885.54167.jpg,7729885.54167.jpg,Shoes,Sneakers and Athletic Shoes,adidas Golf
images\ut-zap50k\Boots\Knee High\Khombu\8003605.3.jpg,8003605.3.jpg,Boots,Knee High,Khombu
images\ut-zap50k\Shoes\Flats\Diane Von Furstenberg\8013729.367613.jpg,8013729.367613.jpg,Shoes,Flats,Diane Von Furstenberg
images\ut-zap50k\Shoes\Loafers\Matisse\7993340.19.jpg,7993340.19.jpg,Shoes,Loafers,Matisse
images\ut-zap50k\Slippers\Slipper Flats\Haflinger\7841870.309148.jpg,7841870.309148.jpg,Slippers,Slipper Flats,Haflinger
images\ut-zap50k\Boots\Ankle\Chippewa\7177963.42226.jpg,7177963.42226.jpg,Boots,Ankle,Chippewa
images\ut-zap50k\Boots\Ankle\SKECHERS\7550165.25440.jpg,7550165.25440.jpg,Boots,Ankle,SKECHERS
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Brooks\8056861.382169.jpg,8056861.382169.jpg,Shoes,Sneakers and Athletic Shoes,Brooks
images\ut-zap50k\Boots\Mid-Calf\Le Chameau\7936372.18.jpg,7936372.18.jpg,Boots,Mid-Calf,Le Chameau
images\ut-zap50k\Boots\Ankle\SKECHERS Work\8075527.3898.jpg,8075527.3898.jpg,Boots,Ankle,SKECHERS Work
images\ut-zap50k\Sandals\Flat\Crocs\7654374.3384.jpg,7654374.3384.jpg,Sandals,Flat,Crocs
images\ut-zap50k\Shoes\Loafers\Sanuk Kids\8066036.11213.jpg,8066036.11213.jpg,Shoes,Loafers,Sanuk Kids
images\ut-zap50k\Shoes\Oxfords\Finn Comfort\7305944.835.jpg,7305944.835.jpg,Shoes,Oxfords,Finn Comfort
images\ut-zap50k\Boots\Mid-Calf\Lucchese\7993879.362206.jpg,7993879.362206.jpg,Boots,Mid-Calf,Lucchese
images\ut-zap50k\Shoes\Heels\Nine West\8113379.61378.jpg,8113379.61378.jpg,Shoes,Heels,Nine West
images\ut-zap50k\Shoes\Prewalker\See Kai Run Kids\7901235.632.jpg,7901235.632.jpg,Shoes,Prewalker,See Kai Run Kids
images\ut-zap50k\Boots\Mid-Calf\UGG Kids\7633181.401.jpg,7633181.401.jpg,Boots,Mid-Calf,UGG Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\SKECHERS KIDS\8069362.632.jpg,8069362.632.jpg,Shoes,Sneakers and Athletic Shoes,SKECHERS KIDS
images\ut-zap50k\Boots\Mid-Calf\Roper Kids\8030269.559.jpg,8030269.559.jpg,Boots,Mid-Calf,Roper Kids
images\ut-zap50k\Shoes\Oxfords\Wolky\8030670.408718.jpg,8030670.408718.jpg,Shoes,Oxfords,Wolky
images\ut-zap50k\Boots\Ankle\Asolo\7303575.92959.jpg,7303575.92959.jpg,Boots,Ankle,Asolo
images\ut-zap50k\Boots\Ankle\Tommy Hilfiger\8041916.3618.jpg,8041916.3618.jpg,Boots,Ankle,Tommy Hilfiger
images\ut-zap50k\Boots\Ankle\Lucky Brand\8048176.6.jpg,8048176.6.jpg,Boots,Ankle,Lucky Brand
images\ut-zap50k\Boots\Knee High\La Canadienne\7667866.5852.jpg,7667866.5852.jpg,Boots,Knee High,La Canadienne
images\ut-zap50k\Boots\Ankle\Blowfish\8028979.354667.jpg,8028979.354667.jpg,Boots,Ankle,Blowfish
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike Kids\7925386.387907.jpg,7925386.387907.jpg,Shoes,Sneakers and Athletic Shoes,Nike Kids
images\ut-zap50k\Boots\Mid-Calf\Tecnica\7477031.14.jpg,7477031.14.jpg,Boots,Mid-Calf,Tecnica
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Lakai\7974194.376476.jpg,7974194.376476.jpg,Shoes,Sneakers and Athletic Shoes,Lakai
images\ut-zap50k\Boots\Mid-Calf\Stride Rite\8000320.278.jpg,8000320.278.jpg,Boots,Mid-Calf,Stride Rite
images\ut-zap50k\Boots\Knee High\Cole Haan Kids\7994505.3.jpg,7994505.3.jpg,Boots,Knee High,Cole Haan Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\ASICS\7885670.358601.jpg,7885670.358601.jpg,Shoes,Sneakers and Athletic Shoes,ASICS
images\ut-zap50k\Shoes\Heels\Chinese Laundry\7919284.594.jpg,7919284.594.jpg,Shoes,Heels,Chinese Laundry
images\ut-zap50k\Shoes\Flats\Umi Kids\8077821.1334.jpg,8077821.1334.jpg,Shoes,Flats,Umi Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Running\7976958.356011.jpg,7976958.356011.jpg,Shoes,Sneakers and Athletic Shoes,adidas Running
images\ut-zap50k\Boots\Mid-Calf\Caterpillar Casual\8052265.8755.jpg,8052265.8755.jpg,Boots,Mid-Calf,Caterpillar Casual
images\ut-zap50k\Shoes\Heels\Shoe Be Doo\8031509.231.jpg,8031509.231.jpg,Shoes,Heels,Shoe Be Doo
images\ut-zap50k\Boots\Ankle\Palladium Kids\7996597.148870.jpg,7996597.148870.jpg,Boots,Ankle,Palladium Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike\8046697.378356.jpg,8046697.378356.jpg,Shoes,Sneakers and Athletic Shoes,Nike
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Keen\7892665.326700.jpg,7892665.326700.jpg,Shoes,Sneakers and Athletic Shoes,Keen
images\ut-zap50k\Shoes\Heels\ALDO\8051678.585.jpg,8051678.585.jpg,Shoes,Heels,ALDO
images\ut-zap50k\Shoes\Heels\Giuseppe Zanotti\8080622.392748.jpg,8080622.392748.jpg,Shoes,Heels,Giuseppe Zanotti
images\ut-zap50k\Boots\Ankle\Spring Step\7867290.3.jpg,7867290.3.jpg,Boots,Ankle,Spring Step
images\ut-zap50k\Shoes\Flats\Merrell\7879787.159202.jpg,7879787.159202.jpg,Shoes,Flats,Merrell
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Saucony\7787539.287535.jpg,7787539.287535.jpg,Shoes,Sneakers and Athletic Shoes,Saucony
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Tsukihoshi Kids\7508775.2294.jpg,7508775.2294.jpg,Shoes,Sneakers and Athletic Shoes,Tsukihoshi Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike Action\7757812.350812.jpg,7757812.350812.jpg,Shoes,Sneakers and Athletic Shoes,Nike Action
images\ut-zap50k\Sandals\Flat\Pelle Moda\7991668.632.jpg,7991668.632.jpg,Sandals,Flat,Pelle Moda
images\ut-zap50k\Shoes\Heels\Soft Style\7828637.138422.jpg,7828637.138422.jpg,Shoes,Heels,Soft Style
images\ut-zap50k\Sandals\Flat\Naot Footwear\7895821.328170.jpg,7895821.328170.jpg,Sandals,Flat,Naot Footwear
images\ut-zap50k\Sandals\Flat\Enzo Angiolini\7947529.200.jpg,7947529.200.jpg,Sandals,Flat,Enzo Angiolini
images\ut-zap50k\Shoes\Loafers\Kenneth Cole Reaction\8084334.158.jpg,8084334.158.jpg,Shoes,Loafers,Kenneth Cole Reaction
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Reebok\7975655.355210.jpg,7975655.355210.jpg,Shoes,Sneakers and Athletic Shoes,Reebok
images\ut-zap50k\Shoes\Loafers\Calvin Klein\7943225.3.jpg,7943225.3.jpg,Shoes,Loafers,Calvin Klein
images\ut-zap50k\Sandals\Flat\7 For All Mankind\7969359.107364.jpg,7969359.107364.jpg,Sandals,Flat,7 For All Mankind
images\ut-zap50k\Shoes\Heels\ALDO\8096658.585.jpg,8096658.585.jpg,Shoes,Heels,ALDO
images\ut-zap50k\Boots\Ankle\Sorel Kids\7661792.25525.jpg,7661792.25525.jpg,Boots,Ankle,Sorel Kids
images\ut-zap50k\Shoes\Heels\LifeStride\8083782.3.jpg,8083782.3.jpg,Shoes,Heels,LifeStride
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance Classics\7648875.296184.jpg,7648875.296184.jpg,Shoes,Sneakers and Athletic Shoes,New Balance Classics
images\ut-zap50k\Shoes\Clogs and Mules\Spring Step\7607253.72.jpg,7607253.72.jpg,Shoes,Clogs and Mules,Spring Step
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\EVOLV\8024499.3386.jpg,8024499.3386.jpg,Shoes,Sneakers and Athletic Shoes,EVOLV
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Oakley\8018377.742.jpg,8018377.742.jpg,Shoes,Sneakers and Athletic Shoes,Oakley
images\ut-zap50k\Boots\Ankle\Timberland Kids\7987367.359629.jpg,7987367.359629.jpg,Boots,Ankle,Timberland Kids
images\ut-zap50k\Shoes\Oxfords\Cole Haan\7897770.983.jpg,7897770.983.jpg,Shoes,Oxfords,Cole Haan
images\ut-zap50k\Boots\Ankle\Aquatalia by Marvin K\8011577.366745.jpg,8011577.366745.jpg,Boots,Ankle,Aquatalia by Marvin K
images\ut-zap50k\Boots\Ankle\MIA\8007289.310.jpg,8007289.310.jpg,Boots,Ankle,MIA
images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983412.383032.jpg,7983412.383032.jpg,Boots,Ankle,adidas Outdoor
images\ut-zap50k\Shoes\Flats\Earthies\8018545.343.jpg,8018545.343.jpg,Shoes,Flats,Earthies
images\ut-zap50k\Sandals\Flat\taos Footwear\8132550.11.jpg,8132550.11.jpg,Sandals,Flat,taos Footwear
images\ut-zap50k\Shoes\Heels\Soft Style\7660939.5528.jpg,7660939.5528.jpg,Shoes,Heels,Soft Style
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Keen\7976868.355946.jpg,7976868.355946.jpg,Shoes,Sneakers and Athletic Shoes,Keen
images\ut-zap50k\Shoes\Flats\Corso Como\8041696.376660.jpg,8041696.376660.jpg,Shoes,Flats,Corso Como
images\ut-zap50k\Slippers\Slipper Flats\Ragg Kids\8030740.1334.jpg,8030740.1334.jpg,Slippers,Slipper Flats,Ragg Kids
images\ut-zap50k\Shoes\Loafers\ECCO\8036737.375237.jpg,8036737.375237.jpg,Shoes,Loafers,ECCO
images\ut-zap50k\Sandals\Flat\OluKai Kids\7773794.273306.jpg,7773794.273306.jpg,Sandals,Flat,OluKai Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike\7925348.320184.jpg,7925348.320184.jpg,Shoes,Sneakers and Athletic Shoes,Nike
images\ut-zap50k\Shoes\Clogs and Mules\Crocs Kids\7734484.269826.jpg,7734484.269826.jpg,Shoes,Clogs and Mules,Crocs Kids
images\ut-zap50k\Shoes\Heels\Stuart Weitzman\7591143.389337.jpg,7591143.389337.jpg,Shoes,Heels,Stuart Weitzman
images\ut-zap50k\Boots\Knee High\UGG Kids\7658272.621.jpg,7658272.621.jpg,Boots,Knee High,UGG Kids
images\ut-zap50k\Boots\Ankle\Stuart Weitzman\7978007.81034.jpg,7978007.81034.jpg,Boots,Ankle,Stuart Weitzman
images\ut-zap50k\Boots\Knee High\UGG\7839363.359.jpg,7839363.359.jpg,Boots,Knee High,UGG
images\ut-zap50k\Shoes\Loafers\Dolce Vita\8106692.3.jpg,8106692.3.jpg,Shoes,Loafers,Dolce Vita
images\ut-zap50k\Boots\Mid-Calf\Dr. Martens\113255.1670.jpg,113255.1670.jpg,Boots,Mid-Calf,Dr. Martens
images\ut-zap50k\Shoes\Heels\Wolky\7920105.23638.jpg,7920105.23638.jpg,Shoes,Heels,Wolky
images\ut-zap50k\Boots\Mid-Calf\Vintage Shoe Company\7790872.289539.jpg,7790872.289539.jpg,Boots,Mid-Calf,Vintage Shoe Company
images\ut-zap50k\Shoes\Heels\Stuart Weitzman\8064106.670.jpg,8064106.670.jpg,Shoes,Heels,Stuart Weitzman
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance\7626936.3.jpg,7626936.3.jpg,Shoes,Sneakers and Athletic Shoes,New Balance
images\ut-zap50k\Boots\Ankle\AIGLE\8113228.1897.jpg,8113228.1897.jpg,Boots,Ankle,AIGLE
images\ut-zap50k\Shoes\Oxfords\Frye\7880621.321728.jpg,7880621.321728.jpg,Shoes,Oxfords,Frye
images\ut-zap50k\Shoes\Boat Shoes\Frye\7599417.248970.jpg,7599417.248970.jpg,Shoes,Boat Shoes,Frye
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Kids\8074609.390429.jpg,8074609.390429.jpg,Shoes,Sneakers and Athletic Shoes,adidas Kids
images\ut-zap50k\Boots\Mid-Calf\Rockport\7996557.3.jpg,7996557.3.jpg,Boots,Mid-Calf,Rockport
images\ut-zap50k\Sandals\Flat\UGG\7963049.281.jpg,7963049.281.jpg,Sandals,Flat,UGG
images\ut-zap50k\Shoes\Heels\Irregular Choice\8103056.385.jpg,8103056.385.jpg,Shoes,Heels,Irregular Choice
images\ut-zap50k\Boots\Mid-Calf\MIA\8007286.275.jpg,8007286.275.jpg,Boots,Mid-Calf,MIA
images\ut-zap50k\Shoes\Oxfords\Bass\7563706.184651.jpg,7563706.184651.jpg,Shoes,Oxfords,Bass
images\ut-zap50k\Boots\Knee High\Donald J Pliner\8018414.3.jpg,8018414.3.jpg,Boots,Knee High,Donald J Pliner
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\DC Kids\7549146.12784.jpg,7549146.12784.jpg,Shoes,Sneakers and Athletic Shoes,DC Kids
images\ut-zap50k\Boots\Mid-Calf\UGG\8041830.278.jpg,8041830.278.jpg,Boots,Mid-Calf,UGG
images\ut-zap50k\Shoes\Clogs and Mules\Naot Footwear\7830004.303915.jpg,7830004.303915.jpg,Shoes,Clogs and Mules,Naot Footwear
images\ut-zap50k\Boots\Ankle\Florsheim Kids\8042997.6.jpg,8042997.6.jpg,Boots,Ankle,Florsheim Kids
images\ut-zap50k\Shoes\Heels\BCBGeneration\8080597.132976.jpg,8080597.132976.jpg,Shoes,Heels,BCBGeneration
images\ut-zap50k\Boots\Knee High\FIEL\8110047.379901.jpg,8110047.379901.jpg,Boots,Knee High,FIEL
images\ut-zap50k\Shoes\Flats\Kate Spade New York\8063857.283519.jpg,8063857.283519.jpg,Shoes,Flats,Kate Spade New York
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance Kids\7931240.11204.jpg,7931240.11204.jpg,Shoes,Sneakers and Athletic Shoes,New Balance Kids
